tx_a,tx_b,block_dist,types
0x0b935bffaa6df0cf7856856465ddb7aa5fde7b1650aad85e01d5c28afe264f06,0xdad374bef0802f319700018a1568fc03f16aa0c1fad17c0f1c726ad161ecd70d,0,storage
0x1640adc0afcf49d6a786fef4aabcd389c3afb01881fecda3b1befb14cba93823,0xdd8366e1509707b0dc81f5372948660bba3e33d3e13a47890625e22bc6d27ad7,2,storage
0x1c22ee81b3ce5d8546e80647edcdd8f472554ca1b692879a7cfb80ef114dc8bd,0xccfa072446c7771af43429ef0f541d7c2f02694313b9899a62dac78a7e1d8be1,1,storage
0x1c6029d7a74db8a1acbded7e7071efb4c5c8bdc1d93ab42361c3094da8d09703,0xc1e6a6a52680b51e98968a32fab24989efe1b2f6842dfede9453a281c3f45e99,1,storage
0x293aead181f70f35679140c706cd449a67d3786c81094895d17f03161abcc2eb,0xa70f8bce15208d480da1e919a38fa7b2f28e7ec47c591257cc6ed620fcea1845,1,storage
0x4b80aa6fccf1aeacccc62273db904f1f7b53378ec33bebbb94352684464fc151,0xb8f0dbc18a04d95f16e5bcd4745946a297be5eb68f7f95993f10973b604a2b6d,2,storage
0x511d4089a0be5831cc596a3dbda3a3367c3a84f24500afcc43fdfb3bb27e9a1a,0x2e9e28e2457ab6b3ff2de83430dd4fd51b48b827ae136287ca9780fb6af4e0f7,0,storage
0x525ada0e5b63eb1b27aa206eeb09db4653c41d5c145038092af18f0addb8e2aa,0x42076c28cfbfad3590e28be941974a203364a687c68d7f0d400ca283b75cb059,2,storage
0x5577f5ef0474a51721eecc925e53d72c46643ccf6880f68a1e8a99622d856b8c,0x4faf92a54e1274a67ddc40edffe83985afcec1c39dff2533e99d4f09416ae5bb,2,storage
0x733c632a1ce57c2cf26f9e97878e0b847467f54fb23f492b19b432a601d94468,0x51d3b923178ef8ad503b58e7817a27c8243d6be14ae4474a52e3b2ad0942e770,1,storage
0x9329d87cecbdbe64305b728322dcf92259b85b50f3f3a58e26342dab55b4b4ff,0x35f7ddce45de41b5eab502817633aa2baa367195561650c653c40289af19ea8c,1,storage
0x99dabc6bf0a8fd1312c6419a4f2320d41e3db39937584e34b0a8978c30b457da,0x13676cd2d6baae85cd0f3dd40e4882a4730f18a0b43d8515b84c380415443107,1,balance|storage
0xa10a553c43fd8475bff8d70a34ebe80fd0137795c365dd7cade45d59b5e77da6,0xa202978bb60265ba4ddaf94d27135ecec8b6804814ee571da32545b253236709,2,storage
0xa6f2e1def6e98e26bdca4e80d7b486f255444d2000edd7c84610f88f302f2d24,0x5e32e28f2fe834c84e61ba67f29f8785bb160136560577d6879bc12225143378,2,balance|storage
0xadb38851b454b1a7ad5f61ef3742143b1b07a29bc054b1b0b48df4ed01c78318,0x38662438615629b9fa8ac70667a9083d1fbb0103eebb717109c795944796bb3f,1,storage
0xb8c720a10d03fe299626a5e514ab1f4d0d1d8d44493b161f972c03a63df23462,0x2c6f4af735d0490284f11dbd3192df4d9ecc0d42898ec826cd8be8d4982fa1a3,2,storage
0xd682b628b647fda1bde51cbae4e582006cf80519af2f4386f01de10a1ad899ba,0x116eed8f115d2c43170c707a27331d99f9e3c4e0ac4ec55b50fa92e6178eb0b9,1,storage
0xe14585e2c3629a19a76b2799b5d4fbcbabbb86eeb7b7c0cd1114f35f6db2bcec,0x3207b3c9c69b66d9edc176dc25016eb8a1983fe73e072102855333eaa5f8be43,1,storage
0xf1b0d7ef47d92673c02d315cc5141418c4ba6cefb0ddabe0191acf9db99403a2,0xebfe536b165d1cac357608db4f3ce5fd7b46af63b6339526fc96acf76a5ecdaf,1,storage
