tx_a,tx_b,rq1-3_search,tod_overall,tod_approximation,property_gain_and_loss
0x000b8cda95545c71b912b069a0353a3900797fe7d076f5422efcf4bf8a97bd44,0x5b5ff385dcf61ef4a31f7fc97232c317f1bc8dd946c42dbb4382d0c7a5db37b3,True,False,False,False
0x001c9d4a3358dcedb742bd15a1f56726952410cf5e38b6abe7bf5b4406a330c4,0xb349ca7b9552bb6e74a1723fe635f9cba09329fa41a7f7b91670793c78807e80,True,True,True,True
0x0029a5c66854ac882e072e1432b2edd2a652d788931ed71110275b9f45ea8c8a,0x7df88ebaecf66212beef163828b0349ca25fe1a6118146c1781b477fa9da4830,True,False,False,False
0x004804e6709731f286cefa539c3d0b6a74313dbacd2c3bf6c47cf7a7df1a3539,0x249772291eb9c9e7847c9d1d404a538218355827e60f21b114aa641b6b26fc15,True,True,True,True
0x004804e6709731f286cefa539c3d0b6a74313dbacd2c3bf6c47cf7a7df1a3539,0xebea0747c4cea9400910400d82e18ff10e88389ba9c2e4d844e0a2c0542351ac,True,True,True,True
0x0056f4c9fc4aab73cdfd21493fbc18e50280b0c72c36a63dfccdaa4c770d2f50,0xf75d8c157278654ad8682984233bd5721c425c6db2c874fc3f21ef2af88a3549,True,True,True,True
0x005cc42c6ab6e8c5607b67e76045e7a24ede89422e67335c6b6eb16ea525dbf2,0x1629ad61f56aa66766feebfc15eb8c0779c550d7904260b5deb17fc0b343c94f,True,True,True,True
0x005cc42c6ab6e8c5607b67e76045e7a24ede89422e67335c6b6eb16ea525dbf2,0x717366196f5c687f1bb64ffcc6a49bef9022b71e89ab829b7a308ef4dffea442,True,True,True,True
0x007813bebc29e228d4f4fd4f2bc1664dc267cc3a9a7c3f18fc6e2cc581d091b5,0x210d7725453f02e33b1ff014cf19a4825ae77624ada0d80d389ce7d9b117dccc,True,True,True,True
0x00789f5e4031dd768679fb025b15fd72a2f914dbaa71c39cfbd48e0de66b516b,0xd585bf3026dbe0fce1ba0351314f49d59b920c3c31383e3fd5488bcdd4f36253,True,True,True,True
0x00881b526b5701bcfda6300f70a90933e2848ce492b2955cf9cf6ece5500f09e,0x8eb123c6232c337eb889cd0ccfdd9be643c663da4c0fd991936504c6672372d3,True,True,True,True
0x008eaf0d9c140e94e6cf935c3e9c65c616fa9f39d8a1588bd98cef755fdba1f9,0x1175ab6cad321c85e1828a852ecf565752bea15c8474eefb0df802d24645a30c,True,True,True,True
0x008eaf0d9c140e94e6cf935c3e9c65c616fa9f39d8a1588bd98cef755fdba1f9,0x8f79f684693f74f805ca19e83e9b66d3a5bbb9b850cae2994c0167f819a954b1,True,True,True,True
0x008eaf0d9c140e94e6cf935c3e9c65c616fa9f39d8a1588bd98cef755fdba1f9,0xa7ca004b4724eac045906ef39fa0074efdb2b24fe08af36280edcb84cd3a257d,True,True,True,True
0x00aa49dc75da4a0efae624d29c4fce207d9431ab313438084b0b0437d63b93fa,0x742dfd6caded86466a403341bfb205c91628ee4fffd7d1cc4c6f37f0fdbc0f41,True,False,False,False
0x00aaacdaafa7cd53bb34574b99930c40d422d877de00ed540248c53291648afd,0x28bcbbea9b0bbc4f291e465710c44ed2ef6a5aaf4d236d5144835315d2b757b8,True,False,False,False
0x00ad3695f4732728eed80ba6e63b4303024912bc0a746e7eac7ac8168abdf965,0xd50ae294c01b83efd9801dfc70471733a0d5f42136e7d033ceee555b4891e072,True,True,True,True
0x00b242033626bdadd4d88b0f107fbeb33c9e8938fb90dc4f4cf085c353713115,0xa3c8e220572591db81ced2264c701e4cfe785a62f35b1f09c9e2253336224197,True,True,True,True
0x00be509cd6ee583f61c7f3018e406799e597a14d6552a9e22bc3825016b9f18f,0xd180885ed18d959d35bb09e780a997062023e50c768f68a594972e594be502e9,True,False,False,False
0x00c2097583871717942a27b97537d2bd814b9600434300e6ffdbdc83fa3a2e21,0xafe318b7b525c624436c45ad5e8b04654ed91264a8c7ac9f44ece8c82a43d982,True,True,True,True
0x00c2097583871717942a27b97537d2bd814b9600434300e6ffdbdc83fa3a2e21,0xb3ef60fb76b71d9db3975da71cccd387d33197ddaab59928fd0428d8360d3f01,True,True,True,False
0x00e823f0a4c1f181fdc2f8d4d67e2f399ad23f0a72c232f11ef05d8886d19873,0x1f54b63af03b39717f8d35d00a654f23cc3933c60f5a3d24f89b1d94bafa1c3e,True,False,False,False
0x00fd17b45994791fd90467c229818998a421d13e3e31f9c4b00153b4c66e5fc9,0x21ce4ca5aa94a09f3546203b0b235578259810f32855f0868d8c564caf85dde8,True,True,True,True
0x0101f4a704693249ee14e80d80a55f92a908ca106de406b46b5f7341294c7737,0xf2f6bce5e5233a60f4a777e95ac8c2b9e000a6de031d5b28a540c8503fe9f8a6,True,True,True,True
0x0105461fe4d5e54120076d964f0321f35455075d7eb9d92ab8dff7147905edc2,0x1313e1ea2420d2a2816d546891195dfa4e6db0f85646b82e326f6320e5f9a539,True,True,True,True
0x012a9a4dfd486e624ca67723adeeb78f420f97000bd2f33bb0ce6de893a45dfd,0x64942c7e7a5245ceb2bde3b8ab8db12ccc91f82ecb538ea950782c435033f666,True,True,True,True
