tx_a,tx_b,colliding_intermediary_transactions,overlapping_collisions,missing_collisions
0x9ad045d254834a0e4db8cf22ae366b234f657c9b65c8b79a01cc55fb2428b55b,0x1b221fb18b23b81dd32075172e19c467e33f1cd08d2f312c1671ebac5e1aadf5,7,3,17
0xf1ebc786191fb51dfd91db3fce0fe9d96a72c6128b1d066b68d6144d39e71cae,0xe58749f73251e201854a7daeb4212bd542f58bf09ce95d70829fb7ade67dce80,0,0,0
0x9266d411b9a5c641672d23e6daeeddb889927a616d5c217afd8504fdcf73426f,0x42cb6a4d4ec2a9e73dbaa03c478c556145152b3df21f91554b8db956aef623a5,1,5,1
0xba5bf69ce151310936d427d3359c43a6910c2381d5a2c8cf33a807e478c50cc4,0x6d9cfdca4c232ca706455c44ac40d05723a2e00b0213c7dadf8df43154ac7f7d,1,3,5
0x5d55a3e83cbe744dcb594df725b7075f7f0fad70b861cf782fb0b73173261a72,0xdedb6818733400663d367e41b54262a47c117f6faa3c00ed47b4a216efb42abd,0,0,0
0xf775e74acd3550a0a44c7fcddf31db6d74fc9df1274e731cddfa6c4b58fcfbf7,0xc834f77f097ad182124343611d489c10ddb8a4f9d994d24bacbb3e6cac62b94d,1,3,4
0xbbfd02304714a7fa65be1a42f6fecb1873722a6b9497a25a0a1e36733f66cb39,0xf87214bbc40772d9fe64e2488c2c72d67574c9592f1330c7236547e14f162ad8,0,0,0
0xc1e677439563c28916fc936c80337f9e9360a9fcd6e508afc81685b336ca5875,0x54c0ddf39564ca81daaf7c3fd1c42abbc1a551393cb28c6f7eb7185ab2327303,0,0,0
0x1ba54ecdfc95461af24c43dd6778d0c28987a93f1cb3fad40e9f488af8387040,0x3623d79b693cc8fd1ee6c3437f9b3e5d74fb1d696bf2f5821db6afd2fdd9d41e,3,3,24
0xc1fa212aaaa26adf4df28b20f65ee598161a7b7404764250b698b8304543ad9b,0x997884afe752dcfaf293d05b925b466d9e7420cc5ad2e38a80a57765caceee10,2,3,6
0x8d06c7132e3e7a88ceecd10310b4d017828c503e6fd99512806a7a1076ca6025,0x6bfb5768d486fd261156dd0a0ffa4bcda2776899771c55e3c148310e6ec4af1d,5,3,22
0x151c1c8999de08ac60abe590b2865189f50fdac821d3d0ec450b7968830c5877,0x061e359524d649a8e495a13f5d8a53903655d8493e79a3d3ebba57a528a50995,2,3,18
0x1a48bf426c06a910759d7508538cde4fa62538ec29d56beab269f6147c0fa3de,0x6d9cfdca4c232ca706455c44ac40d05723a2e00b0213c7dadf8df43154ac7f7d,2,3,13
0x5cf84067556e7db37fd0279ec3bfe227d71758786cb53f1cc24e20f8afd9f8d8,0xd24cffe4cd2dd7c89cc7ec3d38f44f4563d184b5fa9a952b46358a8a8e8176cc,0,0,0
0x7c9b117a66acba009ad734507f08cdb07f2241339c6a5e947d4a4afdbf8c8a38,0x1b221fb18b23b81dd32075172e19c467e33f1cd08d2f312c1671ebac5e1aadf5,6,3,14
0xf418139f1cf3be22d40b6508de36bde2d61b5aa7a8bc0636230fc56943897081,0xa56c9258f032396fbe1f36c044feeebd4d5ab2d943d160c81700087191ca5abe,2,3,18
0xe8a7068a335f54d83eade49615bb28719937a5a76af0c7fcc1da38027652a5a8,0x2679aedaf41b028b364e97064d5eddd40498bee946ed4d57fffd2a4d968db890,0,0,0
0xb8c9644df73fd7f9656eb33ced10b3649158620dfee64e0f89463c9a59f9217c,0x061e359524d649a8e495a13f5d8a53903655d8493e79a3d3ebba57a528a50995,4,5,31
0x1cfcb7c51349e84790c7a4dfd5e15ab4bb0b9c59fe82aaae7c6a9d0de85500f8,0x0ec939e0aab1497114b7184ed6caa14ca3ce43fd16bc0d18a5f61f91627b5758,1,3,1
0x226f20bd9780288a81a7ca791deddc80227d26cfb4c2aee9095137fdcfb35cc9,0x9f806cd962149465f375b163bab16e4117a6f0f0bddcc8c70bd3c608c469eac6,0,0,0
