task,elapsed_ms
t_race|check|download transactions,92980
t_race|check|fetch state changes,173034
t_race|check|check|0x95ece10eab6e160480f1fd5f31f6ec113db6f4c9bf1b31c6a2e31335072cad86_0xc93431834279a66f275f663e64e27984f34f54ca6e96f337da0fe3cf483b41de,1423
t_race|check|check|0x25240cf59c2fd81bddc6f4ccab981e311e230fe71749f7177c2fe79db438c1c4_0xec196bb7dc4ead7b92ff5c4dd47db6d70c497b351dd67aad4f870d81e2ab1b07,923
t_race|check|check|0x2277fe2e762156ef8b5f4257a00db80d98d8c0fa4793ecc38a1b9be21bb48f3a_0x575ce01dbb77a969b1bcbfb374b26611d5256f2e5b03a8bd4363774cc0706978,414
t_race|check|check|0xefa165cb0c9d3855ff8b651b3c3c74e4967bb8c7d4cf531cc846831eb1e31013_0x8b4e103fb0dfcfad6f14dc038061f95af7e84d48c43f3ba28c9c97de8ae03c45,1004
t_race|check|check|0x5f83230229b0cb5da0b988afb4dd54312c8e2067613514fdbc782be4281a60f2_0xe31373da4c4e7eadd1b0a1d32bc5af6d886f613f68ba71cab00a2b22e78a1c62,699
t_race|check|check|0x42ddbd3410f8628c6e5b492ef977772e99c044619abcd8c183b69dfbd6a1d2e8_0xe46826183ba5262aedae8ecc49837b8f62d1210f3d50df2dec1342d05aedb29b,619
t_race|check|check|0xa1035960ad40106e216057213d0af8293720ff343f0c9b881930bd51a48e57c5_0xf759433ac95f52662f9dbf9886eae4e51e39984e0f952af1d7e0f7981d45bd6b,457
t_race|check|check|0xe48dcdf0ae4c57df1fe8e068c180cedad1c42b90ee8886f86e5c8f49e48e2607_0x26b1ded026062195ae059999fd093138385f45c90f89dfba2d718924a369d175,834
t_race|check|check|0x52120ebda42d1b419743ecbf1809d4033d67c67d30dd46c56905b7751fb95a2d_0xa43573b9b62b3e73b9bc6c5819d91311078b632d05fac2ae22a4d768cc831359,661
t_race|check|check|0xa2016349960967dd85466f3b64b33b0005d24719f557aa1754b65a4db9e612a7_0x34601bb40fb9154259077c0e0a0e54d8221c51375e2d6b4eac6da36035ff855e,1129
t_race|check|check|0x40d52d5f152b82fc6d945e9d134ec23831c450ce00a66934e36ec88eacfad08d_0x2dd2a69cb792878682ab7fbd3be2bef6ae30868239d29c6b8903d5be21c9e9f2,1096
t_race|check|check|0x64c2452d203dea2ec21b760f8853bde570b9c817b974ed71d67be5479837e142_0x77cda2356608a16d82a43aad7a098cd8d30135dabbd4e47067fdc41100a1bde9,587
t_race|check|check|0x62f24c9866ec5785fe1eb27575b43331f2c6e637fbda19cf42053922fafa1b03_0x90d0ee7130dd4acaa19061e5f3ed81d21b23dc187357ca78cf60644b3a9ec9fa,1182
t_race|check|check|0xdcdc9096d23f2d4ca4c8b4dde7f252db05154db31f0af07dbe53656f4b82d585_0x27b96b58f91b653143c0f772434145284687f1003c24549f6e79c2ecc1df59c2,713
t_race|check|check|0x3a4e4769d242ab7c3ad25783f5d7f2cd618ebaa44c6058bbae3ca3d06f0729a5_0x9f7a20654d9d9fbe23077ca506469f21ba9655277b826f422ebca6c2ecf4f304,1073
t_race|check|check|0x42abfa6a277f4d4c76be6c10817172c464856f74b3b36e174f353243f88f4b41_0x4e4763861a0a98639e4641ffef89e659d3d5b803314ca78a84ebd007738a7a6f,393
t_race|check|check|0xb045664b5d349cdc64f62eb79bb8599985364ad01ffeffb02d92d16efc348e4b_0x0b03beadfedada0ef0da246f6a5ebedac450b593c85917fd267aea3d9323fc9d,971
t_race|check|check|0x81a645b23b170635d1e6cab874876fb56304b60a6c4105e3d08b7cc263010ba0_0x38d32a50b2ba92417b233aa4081a966cca0f22782ce4f3c044fa1da1898a4e56,607
t_race|check|check|0x948900f6cf77f3a030f4fc5a653ad83d1633efbffd6ceda0575194273e6e89ac_0x9d05954eeb3d098ef85e1734440ebc9dd0d59e2cf8a987071a0d8a716a6af67b,1090
t_race|check|check|0x4f438bbe6ab980bca73ea1a45d4c2e57cda7cad55eb617adb0cdc3a4923ce649_0xf8d31ec16104c51e4cf3cc46223bd5586c61f865445866ba61b9cf901287e21b,915
t_race|check|check|0xe13e750e73246f84d3b83f6a9a9adaa94b26566404c5305f8d396caac7aac313_0x43f69146926fdbe6dbe3305c8434c58df2b074dae0f788e70275100d3246446e,561
t_race|check|check|0xe89ec1461a2c2c200e23132a655e54dd5c18ec66e4f5590a791d98ed27796ba0_0xe1fdf41abfe21e7b21597d8fe6d1fd8c9ea5b4c090c52d43fbe5100a2259f1f4,706
t_race|check|check|0x1d982c76f46f4765298af371a77f0a251136c34957e21f2e72171364a083d12e_0x020fe57589bfa3c2e8b7f2e0389e39f3e880383c516facab8bd01336a2032b03,1047
t_race|check|check|0x277fe7c861ec97b4d3fd118dc77bb35cb5822dc74be6db148202320211c25db5_0xa84892cae7eb42df87d3387772174a986f2e465085cd08a3c859c0da2be17971,689
t_race|check|check|0x5d004812c007e75eeda1619c30ba9a16ae4685c2d875c715f595d17db1b2a314_0xfb75e2dbd50391f1777a8b7d31054fc9175e67c802197dcd2acfcd7d2de9891b,493
t_race|check|check|0xbd2b0c8db49a8e079b6b9fcd81683a9bc11491a2feb4af1720419a9de62bd564_0x3a8ee729b3dac3bbc763aea435f02e3f22753cb229dc75b41358f7a46d4108bc,1011
t_race|check|check|0xd9013761cc249ab60bbfd812a13ce1dde6fc977eeef54c884a47253026f98b73_0x1337b79c088aac7eb74b2c1c5a640b0700c00689a2b5e2fad83fd484250ebaf6,1567
t_race|check|check|0x6289280e51548f46a84b174ee4d1861ed7ffa97afd1d6e59b374d20d0c363026_0xb8c9644df73fd7f9656eb33ced10b3649158620dfee64e0f89463c9a59f9217c,1081
t_race|check|check|0x55132020703b2c3fefe18643f83c49d9fdbac0a2062f27c36a9040cf9feab76c_0x2b0728432fcb42b2760bffe4e4a1935b451cf79b95383edbf4fd87e5c7da8b7a,736
t_race|check|check|0x4495cb3ca982229034da950eaa1252834b92ceaf170571afc69008f659edeb0d_0xe107cead23839c06df6e502b2f9d96beed9657104eb012b78a4df3e36a8a9c49,1002
t_race|check|check|0x22e25b1e1456c3bd90a0def317304f086887269592105c56afbfbe7c15015a75_0xa1da1e36090d3542e42e3e7c4e8c9ab35d1912e6f236d89163d517347036caaf,897
t_race|check|check|0xdc40398af4030d6fb304f230a0591b98a6e10fa1a4c73fd436abbf83148d843e_0xa6508e2a153f04f6883961b0cc85ec0748e2147148ac9c3e113a56327ba7c282,899
t_race|check|check|0x37883fb72268c3b2f38de0c4f5af72f96022c336860ba9a521701666347113d4_0xd483c00bd91555faa6c593fdd64197d57eed59c99cfaa31f6f668eb38ed3b6c3,743
t_race|check|check|0x80669142458ea1efe5cd5e0bc9ec4d38b6f6e2b3b417306cde867975f416aef9_0x152e3355875a2b4b3e12bc8304642296c7172b9cf506a4eb85da0521eb785e77,632
t_race|check|check|0x49f297d48305afcdfba390288b6a2b0001f936d8cee6ea82b7abd952ae78cd90_0xcb30ef58254fbd65d1938782caa47307991e9604ddab0252746113fb5431a3bf,797
t_race|check|check|0xbc3ee589d9d4aff76059b22af7d51e659eb98e978ae8c455662bd80662545f42_0x1e7323cd2d796e4b78f951e8a1348227c70690453ba2dc502d42570810d3718f,1495
t_race|check|check|0x85686b85f57de6e565efa2945d62b4844d7e2b39f7a149ac8afd1c4fea65d5db_0xe14001493ae5bc42dd65a33a62cfb2a40842d7ee0eb89c916fa3beda0dd5b93a,1130
t_race|check|check|0x5a091286089f6e6662eae301c525f76069a76b31baa1edf29575529707a1b482_0x3b854437063b419a8bdbbe7d278a330771dcd5b875514cf20f35e45254c03cf2,820
t_race|check|check|0x3870c441a464347b055d14de66ffbe7fff479c95d4424fef981f87bea7864f1b_0xcc4fa5a866f26d905b6194a093cf22caa589ee5a643e6ce1edd305cda5665918,230
t_race|check|check|0x0ba2a17c81dc811506cd4374cdac25c6ab2956147112fec33aebeb4499aef614_0x1af2167caffae636a8f7974d1f472d342d5d4cd204bf042d144cc402cac11b9b,1308
t_race|check|check|0xa3fff64f5050300e5e9dc172ed8d2dc14adcf94fd9fd69c3100c7c7e8ac8426a_0x849e1aa72cfc90ff096eb731e483d026300bdbd28433ba815fb0456a29774c13,886
t_race|check|check|0xfd239e7acd00afdd0fe1a35378f2b1a4ab07ca599e5d5fb9efd813bc8353a973_0xecdba5851187c40c832620d0179976b39a0028259927021f53756f31022de773,534
t_race|check|check|0x4783fc6588aa18e054d8f254dfe437ff1bb4778e09344ebdbc555a32246f99a9_0xfc12703a6b886b230fd3393b4c614ee928e3304735e0c6c2f1563aec79d63e02,691
t_race|check|check|0xe84d3c66f6ac4281ae83be0468dbd6f258231c1ba9f9801c231f8a8e351180cf_0xea80f4d1cda21ed5738db6095c18537d0fdd742a490ccc5e1e1e64770fdb5d5b,900
t_race|check|check|0xff4aed22b990c1037515cd8c8c48c95f1ca0bcf1a7ab03e86acdb8f25044de31_0x13b732b798c9c17840d8d6604a0522eeb29377b56746313b971a45952e32a9de,1117
t_race|check|check|0x0e534224e0e892bdf71a69672626a44f9423fdcedec5f39352517c5bd4273360_0xd127d211ba254101b051b05e7b00e18885cac916784a4702d27154a920f6dec4,967
t_race|check|check|0x49ed71b159f9287eabb842cc7da440f6daa118071fbd0b300ba8128f170b5bb8_0x62f24c9866ec5785fe1eb27575b43331f2c6e637fbda19cf42053922fafa1b03,924
t_race|check|check|0xdc2b8a7285eb1a2f0953144d838c015495deaef78ad9ff13a790d220426893a9_0x77a21e1dcd3a41037d339210464cf593e9858149b2794e188ce18ac969c99160,502
t_race|check|check|0x0b0d160f67aa0681585074883d4bf0c0b7fcb007f810b398fdc39a35788c1fb6_0x1c62fbe4e04301a3ba66e10aa6b75ea35ec2d47d14aaedf62a079d69000ec4b3,1446
t_race|check|check|0xd9118520f7313ea84eec594143f1373af99c7352c8832d3a53dca1f395c8f9f7_0xfa9a32afffe9038c0109e05d6d5025d6862bfcc7511038501d7764d29a126da7,998
t_race|check|check|0x46f3d8d8639a7e8c5cac1b5c3a196aeeaebf084d98959ce60bc72c01b4ab9731_0x883397366276b26939aec0b48b54a863067af07eabeb373ca15082f2df1c2282,809
t_race|check|check|0xc0ca10fc14fffa1c8c06f1e1d93d73805783e996efa592714974dba061589e13_0x3b3824b955564f18b306f667934cb53be3f18eb324181fbb7ade2b8cf72109df,661
t_race|check|check|0x1568b5e5705b4eb916110dbaae38660e816cf39d071da7bdc1d5f3ec966629d5_0x887e367eb4019faec76902bb4afffb88ed87133276711b8636a06d072e1f4966,799
t_race|check|check|0x11cab47129c574ffe9ee2304208c5c0596836e5e9cf2576331ed26e797e80136_0xad8723ab32a512744c6509701ac081fed9ba7b504ce618fc44e2d78542b5618b,1157
t_race|check|check|0x1c6f7c683f8f3625aca5f8e0d889b366c308f6d84a354f1b0a482a79978ce683_0x8e1e290090723f39f5275da6e1f50b83c5ca5ede050da7c7e5994f36d61506eb,906
t_race|check|check|0x24e2f0ee3637fefa8ce4a14a4ffd68df9d8fcfbc8d9ef385305758d5e351cc52_0x061e359524d649a8e495a13f5d8a53903655d8493e79a3d3ebba57a528a50995,986
t_race|check|check|0x7f6d17be60d58c93fbe1d034da50df8bee7356456ea0122cd298ce4c43b943bb_0xd48ae381a390e56cd795c781ba5c83a56977d4cfaefcd3f2d6bcee004beb92a7,946
t_race|check|check|0xf84af9ae07b33c44348cdea4b865d296189729cf09a9c93e5e8529c5580d2ccb_0xed7af806f09dd383040c290fa10637ca6bc0cd19ccf5e353ce2fc399085bffd1,869
t_race|check|check|0x557d3113bddf5df10f8e7a421259222b5dff8567df8a4d139eb8490ca0bf26bc_0xf36f296b9496b3358e5d5cd174eedd88405fa9a8837bc2fb8709c38225676c31,1428
t_race|check|check|0x1d5c5401121a3f5c7654247e8078bc384b388d3c565e223a9f4f062f124b6deb_0xf1634cda28254b94df6ae33ad86f753001f5bdd6974e47f8ce97604b425dc813,505
t_race|check|check|0xc168d5b3857d50dc6047173988605441883026c8b3c87bf71d2e586abdf61d36_0x4b62bb6bfa52729b0bb957467b855dec27c5cb4857d862c9104586a63634d5dd,744
t_race|check|check|0xebd45bf6214528c10cb24d6b0bd3d6222e67bdb3a27e55a94e978d67cbfb3cc5_0x9513ee9477d2417c8af6af5af9ba14b794cb92d06e93a6cb632dc0b79abe0ea9,1212
t_race|check|check|0x7d45bbcb5a461caa06e1d0bf428deec7c4a32c95aaf6cbf1d532e5aeeff1aa06_0x21c5059b76dbd4ff9ae4674dce6e845574d52e9a4239f905104adaf0a6d4ab00,653
t_race|check|check|0xbefb73bfc49d9f1884238b68934cc6bee24c3a454204e8f31da0fa725d9c6729_0x8db8cd03fd8946a7e51c2a5860eed8530110bc8cbc6fee7cb4684d6f07c1f3ad,505
t_race|check|check|0x647bfb1f6161e8cb8deb67d44377c57c72e2c5f2b96eed405b1771892a72a24b_0x4ba64a1febe2930bbb3b31db0807d9475bd15b0d609fe416b15df317c5d7d0c9,821
t_race|check|check|0x4706d81c7980110d1bdd2a5ed67c238695059a316c701cb75623f63b43b578d9_0x797fe77ce97acf98398156922cd93dac37155e7807be20036a235bb611948c07,1716
t_race|check|check|0xf46779038593371054fe00298f3e857d8eb0b339f555c1029dfe21e17fbed852_0x513b8fd7fdaff8e9b520a0576000f8c8b8c653a83d4988d08f77dd4b8928986a,695
t_race|check|check|0x8d5d315fbc92969d418facc4860f27c1f140ef3f7e44d4ad0312111e18616c46_0x7834504a3f4e88fb6ba83ca30a45eb55f7d9d8a5f8b78d109d2c3abdfec6b6fd,1079
t_race|check|check|0x6c76bd1c28b863ca0d3a378fc4b038a95c7a7f3fce0061e4bd7904d29ad2b62d_0xa1df1f8aa909be8803c4c91310e67ba136b473e1fbd6dc0c9e5d78715aef9ba0,670
t_race|check|check|0xb384d82cb2a1fff4785baeb036ed8c81ad97ddadf0e9eddd2ae97ded47a0f08b_0x44a002a00649e002e38d7dd36a7f55251936787e76997eaa0e5474efd818451e,1359
t_race|check|check|0x9fa9d2cb9f2954636862d070b1873bbec2bd4540cbbca2ffa79cb63b83ce1466_0xba4647831c478e770e27ca9634edaea3206b4c1c987b1ad1ad5fd1a4ec2bbe66,1730
t_race|check|check|0xcd89ab2c89622ef1879d93625470121b9c5f9bf8497a31f7d2710f7fde26d103_0x19b7c4a6f4984f74a0bf6b148b96917d35030ce5a8eab3642775714db656de89,873
t_race|check|check|0x004804e6709731f286cefa539c3d0b6a74313dbacd2c3bf6c47cf7a7df1a3539_0x249772291eb9c9e7847c9d1d404a538218355827e60f21b114aa641b6b26fc15,375
t_race|check|check|0x95278c4bdb580a7b7b1b29ff4a6f04b5b1a7d90e0e2dc09a4b4d22b3bedd187e_0x71f8363350d866c2519030b0de5dd8015d6714a241f1cafa3e63486c8afbeefa,975
t_race|check|check|0xa2e42159dfe290b1c3afbe5e05c9b291b79deab78a8528bd1520f8d5572e6225_0x0fba70187d815aa0d247096cf5f65b934f345da71c32ab388cee4980437b7155,1492
t_race|check|check|0x0d94dc9916839066e84dc5da06c4b1c4ea2fc09d96747f11fdad551aa0774b63_0xf345d74f05906c7345972aa74f601c3fdf55e63182b03b41df3d421752dd0ddb,652
t_race|check|check|0xefad70534e64c6e343635643343300132f7a6c4da5c2bd9ee0b9453e0ad3874c_0xb045664b5d349cdc64f62eb79bb8599985364ad01ffeffb02d92d16efc348e4b,871
t_race|check|check|0x356f752cc990a53c8b9debb7e3c4f1dab9343be8acd285cef36c1399b944d551_0x7374d56ebedea50e3f8e1b88bf6bc85272143821e3d59c1f50dab18d5ea2664a,1319
t_race|check|check|0xce2f91b71ba187ef6e03668e02bf19e47e9c955ecc89a883da60f9f52b797e62_0x853c1655c2d261cb7cc779f2e23556fbae3d334869087b8f5fa9726b03acf4ee,719
t_race|check|check|0xbb941efb126e38796152c0a9455aa44fffbc608b4eb502f6123f8da8e4e88516_0x9f2308494a6064dedf258afc7075b3c1aaca4fb65385473fd49c366d80a0f6f7,702
t_race|check|check|0xbd421db57c6a027fb3b8c0948c78f7b90b4cd7d81a537c7cba8fc97afe06d328_0x04e1e5eba59957e7dd0167257245a2742f3bdae05d9e60c3f87eb9709bbcb367,822
t_race|check|check|0xb0fbd90e38115e4bb543708bad396402ac2ed072350e23027debe2285428d68f_0x5434529740d73e664ed072ec2bbce4dea9193a3f9515e132a32586289ce18449,607
t_race|check|check|0x6354ce5fe2b15c7583cfa767f325558404153c8914802fc156cc7cde98c85649_0x8c5c1c3cf871efdd4b0158a5a99018a005dd40763d8eb296e34b39eeab9ec2f5,329
t_race|check|check|0xededc7cd0bf1f3db759d99df088fe120d83aa423ecc2113e097fbb4d510f4540_0xa43573b9b62b3e73b9bc6c5819d91311078b632d05fac2ae22a4d768cc831359,1888
t_race|check|check|0x8e2ea7f48686a0b5f6760f59bebf2613f4e2307aabe1bb298745ebdc5403b9f7_0x89d49a6eb10861a6a40d0dddf993eaf0ebd96140f2980a6df2b19c58f9f045fb,1041
t_race|check|check|0x28dabbe329a3c1309300f9d49bbc499af6974c5d9f6d5f2cc1dbdea29e15b831_0x77266ce7530503571fbe970fdba898aa21fb23297dd25a379645a82efbb91677,1508
t_race|check|check|0x2605db6fd6c89dfd7ce133a3c507ff83bab8d62ae1774c9b18855ddc345a4f3b_0xd9de088e500cdb6e9a4a0a18af29603ae4d84ae7ef6c9854c7bc173f49a65dc7,1344
t_race|check|check|0x7d8456025f51ec6f7a3a9d7c62870ce44c30f2da93e6c079a62f7b59ebe83317_0x71b644763b954ec17839446d7570b085f10045b91077b6e598ba89c62caf2033,1416
t_race|check|check|0x92918aeb3585c6eb66f72f78730a9f80867655a093b23c1b7582e875ab49e0e2_0x1175ab6cad321c85e1828a852ecf565752bea15c8474eefb0df802d24645a30c,568
t_race|check|check|0xbb8b508fdb9ca6fdc892226dca82f48b199dc127213195c92cccf994ae3fe8c1_0xe3266262c51304071bba5c3e60fc1ef9e530bda31482fd22f6e814f977bef36b,255
t_race|check|check|0xfa1310b50b335a4f0a1eafc891bf87014755f7d13b4acf5942c73066f2fa64d2_0x55d95675126a449992284393c6bdfdc60e115fb92729321d452b58fdd5b07448,1030
t_race|check|check|0x687c90f9e29eb9ef954e1e0f2586a5db4dd846816b87f24c3bbcc22cd0102e34_0x9ec8b51e2e375ac686ff2de3d4aa8db833a5be16719ffc0a9256f61da23d7c8c,965
t_race|check|check|0x279dc3d9f3511468f236820be1d7a78ddf6866a83ebb2fbc1c46008d6fde7fee_0x97b532ffe90e8a29c392c6f50ab82bf9b00d68e7e1bc1ec3623159536a5cabb9,1537
t_race|check|check|0xd25fa822cf0f81d57118a865fea033777725d4e94150218437c9954d133cea26_0x409c9dd78758294e9eed86bfc4a7427fb28d90da0344d75038fe9910742e0cf1,1017
t_race|check|check|0xfa9a32afffe9038c0109e05d6d5025d6862bfcc7511038501d7764d29a126da7_0xa0a0055b1f6824400e09817e4c4bd90d4a9bee98feefb1557fe0c0bee19a177e,863
t_race|check|check|0x592f89a7a404a734963965e3f63f5365e8fe24ec4fbd596d9321a4b0579283f6_0x67e8bca316fcce2685ab8f6b9974dac99815f4f11bf6e74a70755d014485a06f,1027
t_race|check|check|0xec36d1931c2b4e1e8d8f70b3ac855ae13d9a0e3e2507e6a2facf41a1e915bdf8_0x310346e0464bc86326d655da5b63f058f1eae59756e2ac21e11d9df2d115e79d,1098
t_race|check|check|0xe56dcc217f711a67fcdca195bf488ae05a2cfe98981a1fa91a209d19115f7751_0xa4916bd7729508fb148f513e13207e9b2a854f991280297ca33d2b04345bb6cd,940
t_race|check|check|0xe466fa30fe09aa0def3f26951339bf8da1c4044b5bf6330f286e8467c5e756ea_0x184582e540f0880f589202714a38ce833a991a6fd037998035d628e0a033ea47,654
t_race|check|check|0xdf074b237785f25b3d54e3ec65ec624b27a75e5740eabe7869e1e827e0f95061_0xc0ca10fc14fffa1c8c06f1e1d93d73805783e996efa592714974dba061589e13,968
