tx_a,tx_b,result
0x95ece10eab6e160480f1fd5f31f6ec113db6f4c9bf1b31c6a2e31335072cad86,0xc93431834279a66f275f663e64e27984f34f54ca6e96f337da0fe3cf483b41de,TOD
0x25240cf59c2fd81bddc6f4ccab981e311e230fe71749f7177c2fe79db438c1c4,0xec196bb7dc4ead7b92ff5c4dd47db6d70c497b351dd67aad4f870d81e2ab1b07,TOD
0x2277fe2e762156ef8b5f4257a00db80d98d8c0fa4793ecc38a1b9be21bb48f3a,0x575ce01dbb77a969b1bcbfb374b26611d5256f2e5b03a8bd4363774cc0706978,not TOD
0xefa165cb0c9d3855ff8b651b3c3c74e4967bb8c7d4cf531cc846831eb1e31013,0x8b4e103fb0dfcfad6f14dc038061f95af7e84d48c43f3ba28c9c97de8ae03c45,TOD
0x5f83230229b0cb5da0b988afb4dd54312c8e2067613514fdbc782be4281a60f2,0xe31373da4c4e7eadd1b0a1d32bc5af6d886f613f68ba71cab00a2b22e78a1c62,TOD
0x42ddbd3410f8628c6e5b492ef977772e99c044619abcd8c183b69dfbd6a1d2e8,0xe46826183ba5262aedae8ecc49837b8f62d1210f3d50df2dec1342d05aedb29b,TOD
0xa1035960ad40106e216057213d0af8293720ff343f0c9b881930bd51a48e57c5,0xf759433ac95f52662f9dbf9886eae4e51e39984e0f952af1d7e0f7981d45bd6b,not TOD
0xe48dcdf0ae4c57df1fe8e068c180cedad1c42b90ee8886f86e5c8f49e48e2607,0x26b1ded026062195ae059999fd093138385f45c90f89dfba2d718924a369d175,TOD
0x52120ebda42d1b419743ecbf1809d4033d67c67d30dd46c56905b7751fb95a2d,0xa43573b9b62b3e73b9bc6c5819d91311078b632d05fac2ae22a4d768cc831359,not TOD
0xa2016349960967dd85466f3b64b33b0005d24719f557aa1754b65a4db9e612a7,0x34601bb40fb9154259077c0e0a0e54d8221c51375e2d6b4eac6da36035ff855e,TOD
0x40d52d5f152b82fc6d945e9d134ec23831c450ce00a66934e36ec88eacfad08d,0x2dd2a69cb792878682ab7fbd3be2bef6ae30868239d29c6b8903d5be21c9e9f2,not TOD
0x64c2452d203dea2ec21b760f8853bde570b9c817b974ed71d67be5479837e142,0x77cda2356608a16d82a43aad7a098cd8d30135dabbd4e47067fdc41100a1bde9,TOD
0x62f24c9866ec5785fe1eb27575b43331f2c6e637fbda19cf42053922fafa1b03,0x90d0ee7130dd4acaa19061e5f3ed81d21b23dc187357ca78cf60644b3a9ec9fa,TOD
0xdcdc9096d23f2d4ca4c8b4dde7f252db05154db31f0af07dbe53656f4b82d585,0x27b96b58f91b653143c0f772434145284687f1003c24549f6e79c2ecc1df59c2,TOD
0x3a4e4769d242ab7c3ad25783f5d7f2cd618ebaa44c6058bbae3ca3d06f0729a5,0x9f7a20654d9d9fbe23077ca506469f21ba9655277b826f422ebca6c2ecf4f304,TOD
0x42abfa6a277f4d4c76be6c10817172c464856f74b3b36e174f353243f88f4b41,0x4e4763861a0a98639e4641ffef89e659d3d5b803314ca78a84ebd007738a7a6f,not TOD
0xb045664b5d349cdc64f62eb79bb8599985364ad01ffeffb02d92d16efc348e4b,0x0b03beadfedada0ef0da246f6a5ebedac450b593c85917fd267aea3d9323fc9d,TOD
