tx_a,tx_b,result
0x018211eabd811b1855db942a15cbea243e4745d1fc27325530ea404a721ff055,0x23d57538ca656d2d6d6ccb3d4c0f77f57279aaffc49145a95d9f90c90ba50f4d,insufficient ether replay detected
0x00a17a8e3e987657c32a8c241124b069bdf414db947676ae5160aaf9717169c0,0xab21676cfb75ad60178418716fbccea2eb3d3f6460fc4e967c1997d9c2197f70,insufficient ether replay detected
0x0101b527ec28568efdf95fa55db4303470efa1592e1275b97c4c3458d34b86b5,0x066ae4bf6997906e36f2a3bc14c3e5033f349e31c1ff8c4d8df9c2266fff5d00,insufficient ether replay detected
0x018c9ffd686b90619710b3a00a4ae5c4c85b6944fb3ec59d82be9105be0852ee,0x891708f6d0c8bd434edba85227589f3c64e8e1262107a09a9c00f2351f59b4c9,insufficient ether replay detected
0x00e944f5d2455f7698b4b42dda4f8c04019c3bf9c7e9e12678e160f91f9b6e23,0x12083d6161a9e9a6525f55d0f95cbcf5865115bc20cdfeea5c7f908f264246d1,TOD
0x005be88d24c742c0bcf39b8e80ac98ab06beb84ccf85662b987b073dfc247a42,0x908541024f93da6f56a2f9fc858b3b211e42b96df98620c8dbf317ce53235cfc,not TOD
0x00e944f5d2455f7698b4b42dda4f8c04019c3bf9c7e9e12678e160f91f9b6e23,0xc1747795aea4afef46802020e4cdb86f55479c32b7bbb17a34a8ee77a2227b66,TOD
0x012ca6fbd9042871fa8b049c8c6d7dafdd616d9bd4d3f454e65c2983915bf7dc,0x5716642c50ff23e01c897d68ed53d4442c1daf7e7f6839975b03ac05517db16c,not TOD
0x0376b3684d657775b409b3b4b06e427d34079f0e6d2bfd09d43289db62cef2bb,0x301feaf99d6a4bf83bdbfe38af65617ee284741079025c21ba96f63269b56ebb,insufficient ether replay detected
0x00bbcd8c40fe87eaba0c3bcc978a616d5f40a05734a22bf9b0cc9dbf95c59fb0,0x09cdb2dd96bd52e8083416ac6e6b9c07bece318f133c92507b6245d494a5ea7d,TOD
0x00228304f180d14df7f539fc9e8913ee3422cddf9dca4c9c8c653ea9c6ea3e98,0xce761ca1090ba140bd7f3be94d5a7704573d6287f10cf58854907501232bf8a6,not TOD
0x026d6369799ef129e632a442b29a92c843625e12d3f62a56a6646b531b211b0f,0xc2cc3182697feb86caa0957b2fb0c63d3d8aee9f9e88d7af1ca6d897db6f56b8,TOD
0x01154f0bdd6889ba1964e2a0a86d8470023928b8cb195c90dd047d8a97f203ce,0x73b7cb26c463450280760a2803ed8dddd8e80f29f7520747c0a7c4930179fc59,not TOD
0x0394bdf098016add37444443cf3605f6db7005429ac6dba3c1d65fe8280596cb,0xee24cdcb5f194d290db9a4c356302eda277f372ea7634a6456691679a5da9b87,insufficient ether replay detected
0x0154f08af895c899228cbe95e2cf7fad80f5d9aa6a44668c251e37cbbd9aa94e,0xa2c647f63dcb4f8df195212b266521a373f5e392c4038d98f6566aa2c99bffd9,replay diverged
0x0400120a7abca6432cc3bb70e6bf68d5ce443c8948268c96773633e37dfd4374,0xfdf64a2b1e7a5c556d898262767157e34c6ae4896382723debd85bf8a2ac254f,insufficient ether replay detected
0x00bbcd8c40fe87eaba0c3bcc978a616d5f40a05734a22bf9b0cc9dbf95c59fb0,0xa77af4517f2b83b3261058fe4d924d1096ca64008957937cb8316a7931a36b64,TOD
0x002f6e89d3f48680f2f6c77deb033bb6f04a3e3df733c67cdddb0deeaa817fe6,0xd6672ab91d1a4c67101160d4af401de7ba0f4ab66bb2430dbfa8bc84b59166a0,TOD
0x0368063863a25267ca624df8b5c4f18bffc0b4fa27d60ba24cf44ddd0c3277a3,0xa3996268d092821a6ce586fd32691b56011ce95eb4c56d0c68cec4e91b17c4e1,not TOD
0x01e89d6e29f43f571b9c366da7fe1c6164d95334ef693802342480c13d03ddb2,0xfcc037a01d67792649a353ff6e14ae905247afb6e76c25be810e965e59fafc7d,TOD
0x04cbb0ca6031f8dd3b3888dc9cb257cd3587e50ac373cf499b7f45543f080781,0xf23122b3fd3cf88e91cf5b737ebd8b994c3da7271b78fecc1d51de59ed42b130,insufficient ether replay detected
0x05059b65d80ed2bcc0fe358eabe0825da759d7701fc3677e63dc4c2e57ccc9f3,0xa03dec3ab0bc4eeaf7d4e05023b78b54c9d18615452bfc3c42db5194258162a4,not TOD
0x022b2109d7d9de082258f46e81b7e9aa51cef08585c991a99373a5e1e5efe8b6,0x91ebfa8057877c198a4ad7869ebd11634426bf9981cbc5805fa4bc7359425a34,not TOD
0x026acfca91591cbf36a2235686bb47fee73b96f89f9d8e5391e9f96a4da50c0b,0x69c5449b9633f021bc0de4efa1e9dfd83903e204ab9f387f45e5c2172ead28b4,TOD
0x049f3b96846aabb1353826e804162a8612cf9910e9be5e0b3d8a0ac2da92e4fa,0xb2ad591d2eeaef97d1f337b02fe331092d4de7bc969321a94d32d06c9f471df5,not TOD
0x034da021f95ea7e2623b7906c2855f07e759fdeb3c112eec79fb9848e7596aae,0x196ce7325a9aa5d0667378c2b165aef2d03ac9f76326f1907f3ddddd86f37a3e,TOD
0x03bd7729f8a69d42cf9d8c308efe0e142b50b72ff176f9e4e93bb8e5fab824a2,0x3eabcac1ae125741d17606e32f68b92aa16d457d7f31dd12aff8db95cb3b5115,TOD
0x0524fe5a5ef791402c9c0a06eb473564f6b3ed70ef30a640ddffb6c8e0a8920e,0x709192cea3211969e695bdcf21550ebaaf8c7e2dd5bac2d99756fb62c81fd6c1,not TOD
0x05bf9e54bb08181aee5eef8c1680a81bb6703f8ff240f0e643cf9cd54b71fe7b,0x91c5ee0beff581a206c3adad2bdc3eabd8a630a7417b6f6c6a6a1f95935e9827,insufficient ether replay detected
0x04b0a585354c07a112797565bdbe24e9b98b5ab213875a8ccfa570d2e07bdb4b,0xa665a9c1cf08fbd9b3f9f2d3316a643107d4c8341c0c92a648e628f050ecf323,not TOD
0x051edd3242a51802a0806025ae6d72c97c428b83865d121d8bb03542b8f69ce2,0x050e46508e3a078eda75e4a49baae684cac109ef7ef937a0b61c381238dca15d,TOD
0x04731565035c40e51aa4eeb148af5b83de2cbe0b21e980007880a15d29e9a123,0x3302ae56c3d3a009e84291cd8faaaa56020aca632e35f1802424198e00197d4f,TOD
0x03903565601c2542c3bdcee6db3936499b00e68ea2570b94e0f3dba4d3ab859d,0x2272e67fc6abaea8f081832922c5d01e267b1a19b5a09f5af63e5833f6b45999,TOD
0x05a73ca13b230a5406b98c0deac77306319d7ccf2354bf1fae301f804f605e0e,0x90f3faf717d949cf01bbb88b81bf0c2036fe13c72ce30344c16a596b24e1c215,not TOD
0x041137a2232ca0d0a7e1e81affbc9de9eaaa3c4c0e461e4dabad599b981755ad,0x6e2f0596498ba147b5aad65873cf25bea4691604ee034f8ade7060991162099a,insufficient ether replay detected
0x0468dedc778fb42d4a43d97c1f9880fccb4daa94aede629cff44a852dac889a7,0x969498c866d7d724069033acff635111a773524fe391494c979d4bfdc54d4791,TOD
