tx_write_hash,tx_access_hash,block_dist,types
0x00228304f180d14df7f539fc9e8913ee3422cddf9dca4c9c8c653ea9c6ea3e98,0xce761ca1090ba140bd7f3be94d5a7704573d6287f10cf58854907501232bf8a6,3,balance|storage
0x0029b51aacbb13dcaac8388489e70ca677428e857328bc7f3eebf4e85ffb9281,0x9ea5df328c2bd4dafedde3d2817fc2fed6c2ee007df33ba067618a0b064cd4cf,0,balance
0x002f6e89d3f48680f2f6c77deb033bb6f04a3e3df733c67cdddb0deeaa817fe6,0xd6672ab91d1a4c67101160d4af401de7ba0f4ab66bb2430dbfa8bc84b59166a0,1,storage
0x0050ef464fc07c91db7e16ce04bc69292f668189e16b0f225b148cd71f678ac9,0xa06f6642efb6ac0f0cc5299bc410c9b5604c55267c2066d6afb3f0a19a23489b,0,balance
0x005be88d24c742c0bcf39b8e80ac98ab06beb84ccf85662b987b073dfc247a42,0x908541024f93da6f56a2f9fc858b3b211e42b96df98620c8dbf317ce53235cfc,0,balance
0x006159171020a68ff5cb38d96ccb9729d98668f33d588c454a96f3f0d70d8d73,0x4c8138ae9c33a28e8c71c2c6db4eed6adbb9ddef332862aae43cf430d95c7cad,6,storage
0x0071adca88fbb8cb91f4e8cdaee5cc06985e83636a02e03bad93462dc07826a3,0x9cc3c62669d72ae47ad2820d0fcbc6a70bc43c8c8f7312091700506d223d1be1,2,balance|storage
0x0097381503cb52c0d2b5ced6942a029c11dd0d0b3583d21dd277ecddf8d37623,0x7e1737729ad6d1c2da249815ef19991bce7da900d322713d381dc6600a1abe11,22,storage
0x00a17a8e3e987657c32a8c241124b069bdf414db947676ae5160aaf9717169c0,0xab21676cfb75ad60178418716fbccea2eb3d3f6460fc4e967c1997d9c2197f70,13,balance
0x00a3a55f033d84051f84732c314e7c8a5487b3af0108fb26171127249f53c51f,0x8231418ab0604d6dd4f24989c03d8b889d9dc0cacc3b429d9897d530d06c8580,0,balance
0x00b518429e162d092c0823119886228f572fd224fcd73384a98a6b3a64b798a9,0xc2a75c0ed86d0a79c44cd5ff923bade64fb0106346ca9279720a2e37296c4c37,9,storage
0x00b518429e162d092c0823119886228f572fd224fcd73384a98a6b3a64b798a9,0xee42faa0b4b685d9660a536d003830d7dcdabbe6e5d73d34b10b7eff93493d9d,0,balance
0x00b90d930af010249715847a6c1e014d509ee5ed3a98ad312601f11be6d3116a,0xc9ad21c33e3e8be9b35c139a5f26d8f533859d23ca2261805dee7a02bb601dd4,0,balance
0x00bbcd8c40fe87eaba0c3bcc978a616d5f40a05734a22bf9b0cc9dbf95c59fb0,0x09cdb2dd96bd52e8083416ac6e6b9c07bece318f133c92507b6245d494a5ea7d,6,storage
0x00bbcd8c40fe87eaba0c3bcc978a616d5f40a05734a22bf9b0cc9dbf95c59fb0,0xa77af4517f2b83b3261058fe4d924d1096ca64008957937cb8316a7931a36b64,3,storage
0x00e341388e05abc828e77e0d44b925cfe58b189b77e3fd3c1c1e1310e7bf8bf1,0x8effb9b6e97b76d3f4ab875883da83f238d3cf27ac75ca4e09a1d9e88e59ce50,0,balance
0x00e39e02856f71860134e4ac7c4f3d8379e04c7bede75866c30772b22c2c9d76,0x2f65e76a3746c5a6ef4b5e292d28c4b9c62aadec40cc8c90d3224d7b6266f0a2,1,balance|storage
0x00e527c6f4d9af99a2ac1a415ee0e9faa49ddda2a1b72f04887e1c35771ca336,0xc54b63fac7662c5a2e26fd915f719b9ffa130ea1203805fef0e011d3e93638f0,5,storage
